PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81001,AF,106,TOTAL,4086
A81001,AST,309,TOTAL,4086
A81001,CAN,123,TOTAL,4086
A81001,CHD,166,TOTAL,4086
A81001,CKD,174,18OV,3258
A81001,COPD,105,TOTAL,4086
A81001,CVDPP,19,30_74,2222
A81001,DEM,48,TOTAL,4086
A81001,DEP,286,18OV,3258
A81001,DM,268,17OV,3304
A81001,EP,41,18OV,3258
A81001,HF,54,TOTAL,4086
A81001,HYP,633,TOTAL,4086
A81001,LD,22,TOTAL,4086
A81001,MH,45,TOTAL,4086
A81001,OB,314,18OV,3258
A81001,OST,4,50OV,1730
A81001,PAD,27,TOTAL,4086
A81001,PC,64,TOTAL,4086
A81001,RA,22,16OV,3346
A81001,STIA,103,TOTAL,4086
A81002,AF,526,TOTAL,19906
A81002,AST,1404,TOTAL,19906
A81002,CAN,630,TOTAL,19906
A81002,CHD,967,TOTAL,19906
A81002,CKD,1094,18OV,16142
A81002,COPD,683,TOTAL,19906
A81002,CVDPP,113,30_74,11326
A81002,DEM,247,TOTAL,19906
A81002,DEP,2674,18OV,16142
A81002,DM,1252,17OV,16341
A81002,EP,164,18OV,16142
A81002,HF,211,TOTAL,19906
A81002,HYP,3413,TOTAL,19906
A81002,LD,105,TOTAL,19906
A81002,MH,151,TOTAL,19906
A81002,OB,2319,18OV,16142
A81002,OST,6,50OV,8686
A81002,PAD,185,TOTAL,19906
A81002,PC,163,TOTAL,19906
A81002,RA,138,16OV,16504
A81002,STIA,516,TOTAL,19906
A81004,AF,228,TOTAL,10165
A81004,AST,519,TOTAL,10165
A81004,CAN,306,TOTAL,10165
A81004,CHD,379,TOTAL,10165
A81004,CKD,398,18OV,8240
A81004,COPD,299,TOTAL,10165
A81004,CVDPP,80,30_74,5395
A81004,DEM,85,TOTAL,10165
A81004,DEP,635,18OV,8240
A81004,DM,512,17OV,8347
A81004,EP,68,18OV,8240
A81004,HF,113,TOTAL,10165
A81004,HYP,1430,TOTAL,10165
A81004,LD,42,TOTAL,10165
A81004,MH,71,TOTAL,10165
A81004,OB,950,18OV,8240
A81004,OST,83,50OV,3808
A81004,PAD,57,TOTAL,10165
A81004,PC,44,TOTAL,10165
A81004,RA,62,16OV,8444
