PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81001,AF,106,TOTAL,4150
A81001,AST,306,TOTAL,4150
A81001,CAN,118,TOTAL,4150
A81001,CHD,171,TOTAL,4150
A81001,CKD,188,18OV,3314
A81001,COPD,113,TOTAL,4150
A81001,CVDPP,20,30_74,2237
A81001,DEM,47,TOTAL,4150
A81001,DEP,286,18OV,3314
A81001,DM,262,17OV,3368
A81001,EP,42,18OV,3314
A81001,HF,49,TOTAL,4150
A81001,HYP,599,TOTAL,4150
A81001,LD,20,TOTAL,4150
A81001,MH,45,TOTAL,4150
A81001,OB,261,18OV,3314
A81001,OST,4,50OV,1739
A81001,PAD,28,TOTAL,4150
A81001,PC,66,TOTAL,4150
A81001,RA,24,16OV,3413
A81001,STIA,101,TOTAL,4150
A81002,AF,497,TOTAL,19886
A81002,AST,1421,TOTAL,19886
A81002,CAN,596,TOTAL,19886
A81002,CHD,980,TOTAL,19886
A81002,CKD,1198,18OV,16174
A81002,COPD,666,TOTAL,19886
A81002,CVDPP,108,30_74,11296
A81002,DEM,239,TOTAL,19886
A81002,DEP,2534,18OV,16174
A81002,DM,1195,17OV,16364
A81002,EP,160,18OV,16174
A81002,HF,210,TOTAL,19886
A81002,HYP,3397,TOTAL,19886
A81002,LD,91,TOTAL,19886
A81002,MH,146,TOTAL,19886
A81002,OB,2284,18OV,16174
A81002,OST,6,50OV,8663
A81002,PAD,193,TOTAL,19886
A81002,PC,216,TOTAL,19886
A81002,RA,140,16OV,16566
A81002,STIA,508,TOTAL,19886
A81004,AF,214,TOTAL,9471
A81004,AST,476,TOTAL,9471
A81004,CAN,193,TOTAL,9471
A81004,CHD,373,TOTAL,9471
A81004,CKD,373,18OV,7807
A81004,COPD,290,TOTAL,9471
A81004,CVDPP,76,30_74,4799
A81004,DEM,79,TOTAL,9471
A81004,DEP,427,18OV,7807
A81004,DM,487,17OV,7897
A81004,EP,64,18OV,7807
A81004,HF,74,TOTAL,9471
A81004,HYP,1305,TOTAL,9471
A81004,LD,39,TOTAL,9471
A81004,MH,61,TOTAL,9471
A81004,OB,661,18OV,7807
A81004,OST,17,50OV,3468
A81004,PAD,60,TOTAL,9471
A81004,PC,39,TOTAL,9471
A81004,RA,56,16OV,7987
A81004,STIA,189,TOTAL,9471
A81005,AF,224,TOTAL,7929
A81005,AST,442,TOTAL,7929
A81005,CAN,297,TOTAL,7929
A81005,CHD,341,TOTAL,7929
A81005,CKD,124,18OV,6508
A81005,COPD,188,TOTAL,7929
A81005,CVDPP,32,30_74,4746
A81005,DEM,93,TOTAL,7929
A81005,DEP,631,18OV,6508
A81005,DM,430,17OV,6588
A81005,EP,52,18OV,6508
A81005,HF,47,TOTAL,7929
A81005,HYP,1385,TOTAL,7929
A81005,LD,30,TOTAL,7929
A81005,MH,85,TOTAL,7929
A81005,OB,739,18OV,6508
A81005,OST,16,50OV,3849
A81005,PAD,47,TOTAL,7929
A81005,PC,28,TOTAL,7929
A81005,RA,51,16OV,6655
A81005,STIA,202,TOTAL,7929
A81006,AF,299,TOTAL,13733
A81006,AST,895,TOTAL,13733
A81006,CAN,392,TOTAL,13733
A81006,CHD,567,TOTAL,13733
A81006,CKD,383,18OV,10836
A81006,COPD,522,TOTAL,13733
A81006,CVDPP,133,30_74,7740
A81006,DEM,159,TOTAL,13733
A81006,DEP,1262,18OV,10836
A81006,DM,858,17OV,10988
A81006,EP,113,18OV,10836
A81006,HF,185,TOTAL,13733
A81006,HYP,2091,TOTAL,13733
A81006,LD,92,TOTAL,13733
A81006,MH,126,TOTAL,13733
A81006,OB,1409,18OV,10836
A81006,OST,95,50OV,5360
A81006,PAD,126,TOTAL,13733
A81006,PC,123,TOTAL,13733
A81006,RA,99,16OV,11137
A81006,STIA,329,TOTAL,13733
A81007,AF,243,TOTAL,9939
A81007,AST,670,TOTAL,9939
A81007,CAN,304,TOTAL,9939
A81007,CHD,440,TOTAL,9939
A81007,CKD,405,18OV,7829
A81007,COPD,390,TOTAL,9939
A81007,CVDPP,34,30_74,5435
A81007,DEM,109,TOTAL,9939
A81007,DEP,1232,18OV,7829
A81007,DM,564,17OV,7940
A81007,EP,66,18OV,7829
A81007,HF,97,TOTAL,9939
A81007,HYP,1590,TOTAL,9939
A81007,LD,57,TOTAL,9939
A81007,MH,68,TOTAL,9939
A81007,OB,770,18OV,7829
A81007,OST,4,50OV,3892
A81007,PAD,94,TOTAL,9939
A81007,PC,90,TOTAL,9939
A81007,RA,70,16OV,8045
A81007,STIA,229,TOTAL,9939
A81009,AF,147,TOTAL,9048
A81009,AST,513,TOTAL,9048
A81009,CAN,182,TOTAL,9048
A81009,CHD,336,TOTAL,9048
A81009,CKD,244,18OV,7055
A81009,COPD,209,TOTAL,9048
A81009,CVDPP,69,30_74,4973
A81009,DEM,72,TOTAL,9048
A81009,DEP,403,18OV,7055
A81009,DM,503,17OV,7168
A81009,EP,91,18OV,7055
A81009,HF,65,TOTAL,9048
A81009,HYP,1211,TOTAL,9048
A81009,LD,94,TOTAL,9048
A81009,MH,98,TOTAL,9048
A81009,OB,1001,18OV,7055
A81009,OST,6,50OV,3270
A81009,PAD,91,TOTAL,9048
A81009,PC,54,TOTAL,9048
A81009,RA,48,16OV,7285
A81009,STIA,180,TOTAL,9048
A81011,AF,242,TOTAL,11704
A81011,AST,769,TOTAL,11704
A81011,CAN,319,TOTAL,11704
A81011,CHD,630,TOTAL,11704
A81011,CKD,595,18OV,9395
A81011,COPD,469,TOTAL,11704
A81011,CVDPP,71,30_74,6576
A81011,DEM,113,TOTAL,11704
A81011,DEP,1501,18OV,9395
A81011,DM,656,17OV,9538
A81011,EP,113,18OV,9395
A81011,HF,128,TOTAL,11704
A81011,HYP,2167,TOTAL,11704
A81011,LD,94,TOTAL,11704
A81011,MH,110,TOTAL,11704
A81011,OB,1188,18OV,9395
A81011,OST,5,50OV,4707
A81011,PAD,99,TOTAL,11704
A81011,PC,127,TOTAL,11704
A81011,RA,109,16OV,9659
A81011,STIA,281,TOTAL,11704
A81012,AF,81,TOTAL,4761
A81012,AST,310,TOTAL,4761
A81012,CAN,101,TOTAL,4761
A81012,CHD,171,TOTAL,4761
A81012,CKD,128,18OV,3663
A81012,COPD,228,TOTAL,4761
A81012,CVDPP,39,30_74,2500
A81012,DEM,39,TOTAL,4761
A81012,DEP,386,18OV,3663
A81012,DM,253,17OV,3724
A81012,EP,51,18OV,3663
A81012,HF,30,TOTAL,4761
A81012,HYP,801,TOTAL,4761
A81012,LD,32,TOTAL,4761
A81012,MH,54,TOTAL,4761
A81012,OB,643,18OV,3663
A81012,OST,6,50OV,1636
A81012,PAD,58,TOTAL,4761
A81012,PC,47,TOTAL,4761
A81012,RA,24,16OV,3775
A81012,STIA,104,TOTAL,4761
A81013,AF,108,TOTAL,6253
A81013,AST,383,TOTAL,6253
A81013,CAN,170,TOTAL,6253
A81013,CHD,237,TOTAL,6253
A81013,CKD,202,18OV,4898
A81013,COPD,178,TOTAL,6253
A81013,CVDPP,52,30_74,3541
A81013,DEM,39,TOTAL,6253
A81013,DEP,585,18OV,4898
A81013,DM,406,17OV,4982
A81013,EP,53,18OV,4898
A81013,HF,40,TOTAL,6253
A81013,HYP,1049,TOTAL,6253
A81013,LD,36,TOTAL,6253
A81013,MH,56,TOTAL,6253
A81013,OB,501,18OV,4898
A81013,OST,4,50OV,2403
A81013,PAD,36,TOTAL,6253
A81013,PC,12,TOTAL,6253
A81013,RA,53,16OV,5051
A81013,STIA,105,TOTAL,6253
A81014,AF,136,TOTAL,3844
A81014,AST,300,TOTAL,3844
A81014,CAN,117,TOTAL,3844
A81014,CHD,243,TOTAL,3844
A81014,CKD,215,18OV,3225
A81014,COPD,185,TOTAL,3844
A81014,CVDPP,28,30_74,2173
A81014,DEM,45,TOTAL,3844
A81014,DEP,219,18OV,3225
A81014,DM,245,17OV,3258
A81014,EP,43,18OV,3225
A81014,HF,75,TOTAL,3844
A81014,HYP,816,TOTAL,3844
A81014,LD,10,TOTAL,3844
A81014,MH,31,TOTAL,3844
A81014,OB,569,18OV,3225
A81014,OST,4,50OV,1951
A81014,PAD,38,TOTAL,3844
A81014,PC,28,TOTAL,3844
A81014,RA,26,16OV,3283
A81014,STIA,112,TOTAL,3844
A81015,AF,46,TOTAL,2945
A81015,AST,232,TOTAL,2945
A81015,CAN,92,TOTAL,2945
A81015,CHD,134,TOTAL,2945
A81015,CKD,115,18OV,2447
A81015,COPD,74,TOTAL,2945
A81015,CVDPP,22,30_74,1751
A81015,DEM,20,TOTAL,2945
A81015,DEP,225,18OV,2447
A81015,DM,158,17OV,2478
A81015,EP,30,18OV,2447
A81015,HF,25,TOTAL,2945
A81015,HYP,452,TOTAL,2945
A81015,LD,7,TOTAL,2945
A81015,MH,22,TOTAL,2945
A81015,OB,302,18OV,2447
A81015,OST,0,50OV,1306
A81015,PAD,22,TOTAL,2945
A81015,PC,12,TOTAL,2945
A81015,RA,15,16OV,2501
A81015,STIA,51,TOTAL,2945
A81016,AF,174,TOTAL,9684
A81016,AST,607,TOTAL,9684
A81016,CAN,239,TOTAL,9684
A81016,CHD,331,TOTAL,9684
A81016,CKD,332,18OV,7608
A81016,COPD,241,TOTAL,9684
A81016,CVDPP,51,30_74,4951
A81016,DEM,72,TOTAL,9684
A81016,DEP,802,18OV,7608
A81016,DM,514,17OV,7695
A81016,EP,70,18OV,7608
A81016,HF,64,TOTAL,9684
A81016,HYP,1136,TOTAL,9684
A81016,LD,83,TOTAL,9684
A81016,MH,78,TOTAL,9684
A81016,OB,946,18OV,7608
A81016,OST,14,50OV,2871
A81016,PAD,67,TOTAL,9684
A81016,PC,25,TOTAL,9684
A81016,RA,96,16OV,7783
A81016,STIA,173,TOTAL,9684
A81017,AF,344,TOTAL,20275
A81017,AST,1099,TOTAL,20275
A81017,CAN,488,TOTAL,20275
A81017,CHD,638,TOTAL,20275
A81017,CKD,374,18OV,15350
A81017,COPD,359,TOTAL,20275
A81017,CVDPP,124,30_74,11418
A81017,DEM,153,TOTAL,20275
A81017,DEP,1872,18OV,15350
A81017,DM,915,17OV,15612
A81017,EP,124,18OV,15350
A81017,HF,206,TOTAL,20275
A81017,HYP,2573,TOTAL,20275
A81017,LD,40,TOTAL,20275
A81017,MH,110,TOTAL,20275
A81017,OB,2391,18OV,15350
A81017,OST,55,50OV,6800
A81017,PAD,77,TOTAL,20275
A81017,PC,40,TOTAL,20275
A81017,RA,116,16OV,15861
A81017,STIA,343,TOTAL,20275
A81018,AF,221,TOTAL,9353
A81018,AST,655,TOTAL,9353
A81018,CAN,363,TOTAL,9353
A81018,CHD,470,TOTAL,9353
A81018,CKD,425,18OV,7503
A81018,COPD,443,TOTAL,9353
A81018,CVDPP,49,30_74,5314
A81018,DEM,91,TOTAL,9353
A81018,DEP,1130,18OV,7503
A81018,DM,640,17OV,7591
A81018,EP,76,18OV,7503
A81018,HF,134,TOTAL,9353
A81018,HYP,1771,TOTAL,9353
A81018,LD,69,TOTAL,9353
A81018,MH,145,TOTAL,9353
A81018,OB,979,18OV,7503
A81018,OST,17,50OV,3948
A81018,PAD,102,TOTAL,9353
A81018,PC,88,TOTAL,9353
A81018,RA,68,16OV,7674
A81018,STIA,271,TOTAL,9353
A81019,AF,135,TOTAL,10123
A81019,AST,643,TOTAL,10123
A81019,CAN,161,TOTAL,10123
A81019,CHD,422,TOTAL,10123
A81019,CKD,179,18OV,7618
A81019,COPD,349,TOTAL,10123
A81019,CVDPP,62,30_74,5258
A81019,DEM,78,TOTAL,10123
A81019,DEP,370,18OV,7618
A81019,DM,591,17OV,7747
A81019,EP,82,18OV,7618
A81019,HF,76,TOTAL,10123
A81019,HYP,1346,TOTAL,10123
A81019,LD,58,TOTAL,10123
A81019,MH,87,TOTAL,10123
A81019,OB,1140,18OV,7618
A81019,OST,6,50OV,3532
A81019,PAD,80,TOTAL,10123
A81019,PC,58,TOTAL,10123
A81019,RA,54,16OV,7918
A81019,STIA,178,TOTAL,10123
A81020,AF,178,TOTAL,7892
A81020,AST,479,TOTAL,7892
A81020,CAN,249,TOTAL,7892
A81020,CHD,382,TOTAL,7892
A81020,CKD,223,18OV,6297
A81020,COPD,184,TOTAL,7892
A81020,CVDPP,36,30_74,4418
A81020,DEM,89,TOTAL,7892
A81020,DEP,327,18OV,6297
A81020,DM,449,17OV,6368
A81020,EP,64,18OV,6297
A81020,HF,55,TOTAL,7892
A81020,HYP,1400,TOTAL,7892
A81020,LD,36,TOTAL,7892
A81020,MH,76,TOTAL,7892
A81020,OB,713,18OV,6297
A81020,OST,7,50OV,3337
A81020,PAD,81,TOTAL,7892
A81020,PC,60,TOTAL,7892
A81020,RA,39,16OV,6456
A81020,STIA,194,TOTAL,7892
A81021,AF,286,TOTAL,13308
A81021,AST,741,TOTAL,13308
A81021,CAN,460,TOTAL,13308
A81021,CHD,595,TOTAL,13308
A81021,CKD,255,18OV,10555
A81021,COPD,379,TOTAL,13308
