PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81001,AF,107,TOTAL,4117
A81001,AST,310,TOTAL,4117
A81001,CAN,140,TOTAL,4117
A81001,CHD,164,TOTAL,4117
A81001,CKD,158,18OV,3286
A81001,COPD,111,TOTAL,4117
A81001,CVDPP,13,30_74,2232
A81001,DEM,61,TOTAL,4117
A81001,DEP,289,18OV,3286
A81001,DM,282,17OV,3327
A81001,EP,35,18OV,3286
A81001,HF,68,TOTAL,4117
A81001,HYP,624,TOTAL,4117
A81001,LD,23,TOTAL,4117
A81001,MH,46,TOTAL,4117
A81001,OB,321,18OV,3286
A81001,OST,7,50OV,1738
A81001,PAD,40,TOTAL,4117
A81001,PC,56,TOTAL,4117
A81001,RA,22,16OV,3379
A81001,STIA,105,TOTAL,4117
A81002,AF,509,TOTAL,19572
A81002,AST,1361,TOTAL,19572
A81002,CAN,654,TOTAL,19572
A81002,CHD,924,TOTAL,19572
A81002,CKD,975,18OV,15902
A81002,COPD,650,TOTAL,19572
A81002,CVDPP,117,30_74,11199
A81002,DEM,220,TOTAL,19572
A81002,DEP,2780,18OV,15902
A81002,DM,1252,17OV,16061
A81002,EP,160,18OV,15902
A81002,HF,211,TOTAL,19572
A81002,HYP,3370,TOTAL,19572
A81002,LD,97,TOTAL,19572
A81002,MH,148,TOTAL,19572
A81002,OB,2083,18OV,15902
A81002,OST,128,50OV,8628
A81002,PAD,195,TOTAL,19572
A81002,PC,124,TOTAL,19572
A81002,RA,131,16OV,16268
A81002,STIA,512,TOTAL,19572
A81004,AF,255,TOTAL,10806
A81004,AST,587,TOTAL,10806
A81004,CAN,340,TOTAL,10806
A81004,CHD,385,TOTAL,10806
A81004,CKD,435,18OV,8704
A81004,COPD,306,TOTAL,10806
A81004,CVDPP,72,30_74,5848
A81004,DEM,96,TOTAL,10806
A81004,DEP,748,18OV,8704
A81004,DM,608,17OV,8803
A81004,EP,77,18OV,8704
A81004,HF,129,TOTAL,10806
A81004,HYP,1544,TOTAL,10806
A81004,LD,67,TOTAL,10806
A81004,MH,79,TOTAL,10806
A81004,OB,1141,18OV,8704
A81004,OST,87,50OV,4083
A81004,PAD,72,TOTAL,10806
A81004,PC,52,TOTAL,10806
A81004,RA,67,16OV,8921
A81004,STIA,245,TOTAL,10806
A81005,AF,238,TOTAL,8051
A81005,AST,480,TOTAL,8051
A81005,CAN,345,TOTAL,8051
A81005,CHD,341,TOTAL,8051
A81005,CKD,129,18OV,6592
A81005,COPD,203,TOTAL,8051
A81005,CVDPP,49,30_74,4763
A81005,DEM,85,TOTAL,8051
A81005,DEP,672,18OV,6592
A81005,DM,463,17OV,6672
A81005,EP,49,18OV,6592
A81005,HF,70,TOTAL,8051
A81005,HYP,1426,TOTAL,8051
A81005,LD,27,TOTAL,8051
A81005,MH,84,TOTAL,8051
A81005,OB,815,18OV,6592
A81005,OST,22,50OV,3958
A81005,PAD,54,TOTAL,8051
A81005,PC,43,TOTAL,8051
A81005,RA,54,16OV,6745
A81005,STIA,211,TOTAL,8051
A81006,AF,350,TOTAL,14711
A81006,AST,1009,TOTAL,14711
A81006,CAN,438,TOTAL,14711
A81006,CHD,580,TOTAL,14711
A81006,CKD,362,18OV,11578
A81006,COPD,576,TOTAL,14711
A81006,CVDPP,291,30_74,8287
A81006,DEM,192,TOTAL,14711
A81006,DEP,1661,18OV,11578
A81006,DM,954,17OV,11737
A81006,EP,140,18OV,11578
A81006,HF,221,TOTAL,14711
A81006,HYP,2334,TOTAL,14711
A81006,LD,117,TOTAL,14711
A81006,MH,151,TOTAL,14711
A81006,OB,1420,18OV,11578
A81006,OST,135,50OV,5683
A81006,PAD,127,TOTAL,14711
A81006,PC,99,TOTAL,14711
A81006,RA,94,16OV,11879
A81006,STIA,349,TOTAL,14711
A81007,AF,254,TOTAL,9999
A81007,AST,691,TOTAL,9999
A81007,CAN,349,TOTAL,9999
A81007,CHD,427,TOTAL,9999
A81007,CKD,382,18OV,7889
A81007,COPD,389,TOTAL,9999
A81007,CVDPP,51,30_74,5526
A81007,DEM,92,TOTAL,9999
A81007,DEP,1383,18OV,7889
A81007,DM,590,17OV,7994
A81007,EP,73,18OV,7889
A81007,HF,90,TOTAL,9999
A81007,HYP,1565,TOTAL,9999
A81007,LD,60,TOTAL,9999
A81007,MH,89,TOTAL,9999
A81007,OB,829,18OV,7889
A81007,OST,5,50OV,3966
A81007,PAD,96,TOTAL,9999
A81007,PC,61,TOTAL,9999
A81007,RA,80,16OV,8109
A81007,STIA,246,TOTAL,9999
A81009,AF,187,TOTAL,8534
A81009,AST,474,TOTAL,8534
A81009,CAN,212,TOTAL,8534
A81009,CHD,325,TOTAL,8534
A81009,CKD,235,18OV,6691
A81009,COPD,206,TOTAL,8534
A81009,CVDPP,43,30_74,4764
A81009,DEM,65,TOTAL,8534
A81009,DEP,432,18OV,6691
A81009,DM,543,17OV,6797
A81009,EP,87,18OV,6691
A81009,HF,71,TOTAL,8534
A81009,HYP,1171,TOTAL,8534
A81009,LD,85,TOTAL,8534
A81009,MH,88,TOTAL,8534
A81009,OB,998,18OV,6691
A81009,OST,15,50OV,3252
A81009,PAD,90,TOTAL,8534
A81009,PC,46,TOTAL,8534
A81009,RA,48,16OV,6901
A81009,STIA,181,TOTAL,8534
A81011,AF,248,TOTAL,11911
A81011,AST,850,TOTAL,11911
A81011,CAN,401,TOTAL,11911
A81011,CHD,648,TOTAL,11911
A81011,CKD,563,18OV,9577
A81011,COPD,484,TOTAL,11911
A81011,CVDPP,68,30_74,6726
A81011,DEM,127,TOTAL,11911
A81011,DEP,1825,18OV,9577
A81011,DM,714,17OV,9716
A81011,EP,113,18OV,9577
A81011,HF,141,TOTAL,11911
A81011,HYP,2218,TOTAL,11911
A81011,LD,94,TOTAL,11911
A81011,MH,121,TOTAL,11911
A81011,OB,1173,18OV,9577
A81011,OST,5,50OV,4907
A81011,PAD,124,TOTAL,11911
A81011,PC,87,TOTAL,11911
A81011,RA,105,16OV,9828
A81011,STIA,304,TOTAL,11911
A81012,AF,87,TOTAL,5069
A81012,AST,348,TOTAL,5069
A81012,CAN,108,TOTAL,5069
A81012,CHD,160,TOTAL,5069
A81012,CKD,120,18OV,3829
A81012,COPD,245,TOTAL,5069
A81012,CVDPP,43,30_74,2686
A81012,DEM,34,TOTAL,5069
A81012,DEP,506,18OV,3829
A81012,DM,300,17OV,3886
A81012,EP,49,18OV,3829
A81012,HF,41,TOTAL,5069
A81012,HYP,811,TOTAL,5069
A81012,LD,31,TOTAL,5069
A81012,MH,62,TOTAL,5069
A81012,OB,721,18OV,3829
A81012,OST,7,50OV,1705
A81012,PAD,55,TOTAL,5069
A81012,PC,48,TOTAL,5069
A81012,RA,28,16OV,3944
A81012,STIA,107,TOTAL,5069
A81013,AF,145,TOTAL,6557
A81013,AST,433,TOTAL,6557
A81013,CAN,211,TOTAL,6557
A81013,CHD,250,TOTAL,6557
A81013,CKD,237,18OV,5168
A81013,COPD,193,TOTAL,6557
A81013,CVDPP,61,30_74,3765
A81013,DEM,37,TOTAL,6557
A81013,DEP,791,18OV,5168
A81013,DM,442,17OV,5247
A81013,EP,55,18OV,5168
A81013,HF,48,TOTAL,6557
A81013,HYP,1200,TOTAL,6557
A81013,LD,47,TOTAL,6557
A81013,MH,62,TOTAL,6557
A81013,OB,509,18OV,5168
A81013,OST,5,50OV,2620
A81013,PAD,40,TOTAL,6557
A81013,PC,16,TOTAL,6557
A81013,RA,53,16OV,5313
A81013,STIA,107,TOTAL,6557
A81014,AF,140,TOTAL,3825
A81014,AST,317,TOTAL,3825
A81014,CAN,122,TOTAL,3825
A81014,CHD,232,TOTAL,3825
A81014,CKD,194,18OV,3212
A81014,COPD,183,TOTAL,3825
A81014,CVDPP,30,30_74,2205
A81014,DEM,48,TOTAL,3825
A81014,DEP,272,18OV,3212
A81014,DM,271,17OV,3242
A81014,EP,43,18OV,3212
A81014,HF,59,TOTAL,3825
A81014,HYP,797,TOTAL,3825
A81014,LD,16,TOTAL,3825
A81014,MH,30,TOTAL,3825
A81014,OB,522,18OV,3212
A81014,OST,3,50OV,1955
A81014,PAD,40,TOTAL,3825
A81014,PC,15,TOTAL,3825
A81014,RA,24,16OV,3283
A81014,STIA,106,TOTAL,3825
A81016,AF,172,TOTAL,10203
A81016,AST,637,TOTAL,10203
A81016,CAN,266,TOTAL,10203
A81016,CHD,301,TOTAL,10203
A81016,CKD,343,18OV,7958
A81016,COPD,271,TOTAL,10203
A81016,CVDPP,66,30_74,5244
A81016,DEM,73,TOTAL,10203
A81016,DEP,928,18OV,7958
A81016,DM,579,17OV,8071
A81016,EP,72,18OV,7958
A81016,HF,79,TOTAL,10203
A81016,HYP,1185,TOTAL,10203
A81016,LD,71,TOTAL,10203
A81016,MH,91,TOTAL,10203
A81016,OB,901,18OV,7958
A81016,OST,22,50OV,2975
A81016,PAD,77,TOTAL,10203
A81016,PC,31,TOTAL,10203
A81016,RA,82,16OV,8186
A81016,STIA,177,TOTAL,10203
A81017,AF,375,TOTAL,19141
A81017,AST,1065,TOTAL,19141
A81017,CAN,571,TOTAL,19141
A81017,CHD,599,TOTAL,19141
A81017,CKD,337,18OV,14608
A81017,COPD,352,TOTAL,19141
A81017,CVDPP,136,30_74,10911
A81017,DEM,160,TOTAL,19141
A81017,DEP,1855,18OV,14608
A81017,DM,887,17OV,14842
A81017,EP,106,18OV,14608
A81017,HF,220,TOTAL,19141
A81017,HYP,2534,TOTAL,19141
A81017,LD,53,TOTAL,19141
A81017,MH,97,TOTAL,19141
A81017,OB,2136,18OV,14608
A81017,OST,42,50OV,6750
A81017,PAD,93,TOTAL,19141
A81017,PC,34,TOTAL,19141
A81017,RA,104,16OV,15098
A81017,STIA,349,TOTAL,19141
A81018,AF,255,TOTAL,10087
A81018,AST,719,TOTAL,10087
A81018,CAN,453,TOTAL,10087
A81018,CHD,484,TOTAL,10087
A81018,CKD,458,18OV,8004
A81018,COPD,463,TOTAL,10087
A81018,CVDPP,58,30_74,5751
A81018,DEM,111,TOTAL,10087
A81018,DEP,1288,18OV,8004
A81018,DM,772,17OV,8130
A81018,EP,87,18OV,8004
A81018,HF,181,TOTAL,10087
A81018,HYP,1862,TOTAL,10087
